DATE,PRCP,TMAX,TMIN
1/1/21,0,33,25
1/2/21,0.47,40,24
1/3/21,0,42,27
1/4/21,0.14,35,27
1/5/21,0,33,30
1/6/21,0,33,28
1/7/21,0,31,26
1/8/21,0,28,23
1/9/21,0,23,14
1/10/21,0,32,15
1/11/21,0,33,19
1/12/21,0,36,24
1/13/21,0,32,28
1/14/21,0,35,29
1/15/21,0,39,31
1/16/21,0.45,41,31
1/17/21,0,35,31
1/18/21,0.04,38,28
1/19/21,0.04,31,26
1/20/21,0.08,34,24
1/21/21,0.01,25,16
1/22/21,0.05,34,23
1/23/21,0.02,34,18
1/24/21,0.03,19,13
1/25/21,0,20,2
1/26/21,0,30,2
1/27/21,0.26,32,24
1/28/21,0.1,25,16
1/29/21,0.08,18,6
1/30/21,0.07,14,8
1/31/21,0,22,-3
2/1/21,0.15,25,6
2/2/21,0.64,26,17
2/3/21,0.6,27,20
2/4/21,0.05,27,23
2/5/21,0.05,38,17
2/6/21,0,42,25
2/7/21,0,31,2
2/8/21,0,30,-8
2/9/21,0,24,-6
2/10/21,0.03,27,13
2/11/21,0.03,24,14
2/12/21,0,24,-4
2/13/21,0,16,2
2/14/21,0,24,4
2/15/21,0,24,15
2/16/21,0.55,34,20
2/17/21,0.01,39,10
2/18/21,0.01,23,10
2/19/21,0.08,23,16
2/20/21,0.07,30,20
2/21/21,0.07,26,9
2/22/21,0,32,8
2/23/21,0.06,33,22
2/24/21,0.03,38,25
2/25/21,0,52,28
2/26/21,0,35,14
2/27/21,0,40,20
2/28/21,0,49,24
3/1/21,0.04,40,25
3/2/21,0.05,38,11
3/3/21,0,25,11
3/4/21,0.02,41,18
3/5/21,0,27,15
3/6/21,0.02,29,16
3/7/21,0.03,24,16
3/8/21,0,28,4
3/9/21,0,43,5
3/10/21,0,48,24
3/11/21,0,61,38
3/12/21,0,68,34
3/13/21,0,55,23
3/14/21,0,41,24
3/15/21,0.04,36,14
3/16/21,0,26,14
3/17/21,0,37,22
3/18/21,0,52,32
3/19/21,0.5,41,20
3/20/21,0,33,17
3/21/21,0,52,17
3/22/21,0,62,24
3/23/21,0,65,29
3/24/21,0.01,65,29
