Plant state,Plant name,Plant Id,Balancing Authority Name,Balancing Authority Code,PCA Generation (MWh),Latitude,Longitude,Plant primary fuel,Plant primary fuel code,Net generation (MWh),CO2-e Emission (tons),Water intensity (m3/MWh),Carbon intensity (Tons/MWh),Generation Ratio of Power plant,Water Consumption (m3),Subbasin,HUC8,HUC8 ID
AL,ABC Coke,56076,"Southern Company Services, Inc. - Trans",SOCO,255414543,33.582793,-86.779866,COG,COAL,5290,1553,1.85,0.29,0.0000,9772,Locust,03160111,3160111
AL,Alabama Pine Pulp,54429,"Southern Company Services, Inc. - Trans",SOCO,255414543,31.5825,-87.4889,BLQ,BIOMASS,413080,10436,1.94,0.03,0.0016,800363,Lower Alabama,03150204,3150204
AL,Alabama River Pulp,10216,"Southern Company Services, Inc. - Trans",SOCO,255414543,31.5825,-87.4889,BLQ,BIOMASS,308063,12986,1.94,0.04,0.0012,596889,Lower Alabama,03150204,3150204
AL,AMEA Sylacauga Plant,56018,"Southern Company Services, Inc. - Trans",SOCO,255414543,33.1661,-86.2825,NG,GAS,34570,22787,0.80,0.66,0.0001,27553,Lower Coosa,03150107,3150107
AL,ANAD Solar Array,60680,"Southern Company Services, Inc. - Trans",SOCO,255414543,33.626728,-85.969481,SUN,SOLAR,17168,0,0.01,0.00,0.0001,130,Middle Coosa,03150106,3150106
AL,Barry,3,"Southern Company Services, Inc. - Trans",SOCO,255414543,31.0069,-88.0103,BIT,COAL,10464916,8059603,1.77,0.77,0.0410,18506693,Mobile-Tensaw,03160204,3160204
AL,Bartletts Ferry,702,"Southern Company Services, Inc. - Trans",SOCO,255414543,32.661976,-85.091552,WAT,HYDRO,492524,0,119.93,0.00,0.0019,59068376,Middle Chattahoochee-Lake Harding,03130002,3130002
AL,Boise Cascade Pulp & Paper Mill,55044,"Southern Company Services, Inc. - Trans",SOCO,255414543,31.4894,-87.8989,BLQ,BIOMASS,122336,15599,1.94,0.13,0.0005,237031,Lower Tombigbee,03160203,3160203
AL,Browns Ferry,46,Tennessee Valley Authority,TVA,169996779,34.7042,-87.1189,NUC,NUCLEAR,25397781,0,0.24,0.00,0.1494,6219429,Wheeler Lake,06030002,6030002
AL,Calhoun Energy Center,55409,"Southern Company Services, Inc. - Trans",SOCO,255414543,33.5883,-85.9731,NG,GAS,196584,139460,0.80,0.71,0.0008,156683,Middle Coosa,03150106,3150106
AL,Charles R Lowman,56,PowerSouth Energy Cooperative,AEC,5696369,31.488019,-87.910747,BIT,COAL,1256642,1476882,2.13,1.18,0.2206,2681110,Lower Tombigbee,03160203,3160203
AL,Colbert,47,Tennessee Valley Authority,TVA,169996779,34.7439,-87.8486,NG,GAS,68000,59713,0.80,0.88,0.0004,54198,Pickwick Lake,06030005,6030005
AL,Crestwood Dothan,54985,"Southern Company Services, Inc. - Trans",SOCO,255414543,31.262356,-85.402737,DFO,OIL,773,750,2.06,0.97,0.0000,1594,Upper Choctawhatchee,03140201,3140201
AL,"Cumblerland Land Holdings, LLC",61924,Tennessee Valley Authority,TVA,169996779,34.94974,-86.868053,SUN,SOLAR,76,0,0.01,0.00,0.0000,1,Wheeler Lake,06030002,6030002
AL,Decatur Energy Center,55292,Tennessee Valley Authority,TVA,169996779,34.6292,-87.0214,NG,GAS,2702900,1207289,0.80,0.45,0.0159,2172496,Wheeler Lake,06030002,6030002
AL,Decatur-Morgan Co LFG Recovery Project,58061,Tennessee Valley Authority,TVA,169996779,34.623611,-87.101111,LFG,BIOMASS,12556,0,1.94,0.00,0.0001,24328,Wheeler Lake,06030002,6030002
AL,E B Harris Generating Plant,7897,"Southern Company Services, Inc. - Trans",SOCO,255414543,32.381352,-86.574366,NG,GAS,5865446,2424829,0.86,0.41,0.0230,5019117,Upper Alabama,03150201,3150201
AL,E C Gaston,26,"Southern Company Services, Inc. - Trans",SOCO,255414543,33.244211,-86.458056,BIT,COAL,6087254,5696477,3.56,0.94,0.0238,21640748,Lower Coosa,03150107,3150107
AL,ExxonMobil Mobile Bay Onshore,54550,"Southern Company Services, Inc. - Trans",SOCO,255414543,30.43203,-88.18241,NG,GAS,88024,27074,0.80,0.31,0.0003,70157,Mobile Bay,03160205,3160205
AL,Fort Rucker Solar Array,60679,"Southern Company Services, Inc. - Trans",SOCO,255414543,31.331148,-85.73019,SUN,SOLAR,13376,0,0.01,0.00,0.0001,102,Upper Choctawhatchee,03140201,3140201
AL,Gadsden,7,"Southern Company Services, Inc. - Trans",SOCO,255414543,34.0128,-85.9708,NG,GAS,188877,145485,14.41,0.77,0.0007,2721290,Middle Coosa,03150106,3150106
AL,Gantt,53,PowerSouth Energy Cooperative,AEC,5696369,31.4033,-86.479469,WAT,HYDRO,904,0,0.00,0.00,0.0002,0,Upper Conecuh,03140301,3140301
AL,Georgia-Pacific Brewton Mill,54789,"Southern Company Services, Inc. - Trans",SOCO,255414543,31.077,-87.1116,BLQ,BIOMASS,455306,74713,1.94,0.16,0.0018,882179,Lower Conecuh,03140304,3140304
AL,Georgia-Pacific Consr Prods LP-Naheola,10699,"Southern Company Services, Inc. - Trans",SOCO,255414543,32.2268,-88.0252,BLQ,BIOMASS,293050,57044,1.94,0.19,0.0011,567800,Middle Tombigbee-Chickasaw,03160201,3160201
AL,Goat Rock,707,"Southern Company Services, Inc. - Trans",SOCO,255414543,32.60965,-85.0805,WAT,HYDRO,175597,0,44.43,0.00,0.0007,7801624,Middle Chattahoochee-Lake Harding,03130002,3130002
AL,Gorgas,8,"Southern Company Services, Inc. - Trans",SOCO,255414543,33.644344,-87.196486,BIT,COAL,5497888,6268028,1.85,1.14,0.0215,10156068,Mulberry,03160109,3160109
AL,Greene County,10,"Southern Company Services, Inc. - Trans",SOCO,255414543,32.6017,-87.7811,NG,GAS,1173091,767374,0.80,0.65,0.0046,934984,Lower Black Warrior,03160113,3160113
